"","image","user","recallCount","tasselCount","type","question.ordinal","question.elapsed","difficulty","fmax","fmean","fmedian"
"1",1,1,4,11,1,29,108.239,2,0.94291754756871,0.837255780896871,0.842142236803204
"2",1,10,3,6,1,43,113.595,2,0.951343487394958,0.869698810520966,0.860717430393329
"3",1,101,0,10,2,23,118.589,2,0.966385928608381,0.894837221333586,0.887630664767463
"4",1,103,4,7,2,58,29.893,2,0.904709748083242,0.77435738152732,0.814656534877546
"5",1,104,4,9,2,39,54.585,2,0.897554691837868,0.799123215494463,0.845598749448619
"6",1,105,5,7,2,46,14.236,2,0.842592592592593,0.564232592080654,0.528281756490521
"7",1,106,5,6,2,61,28.624,2,0.846597462514417,0.752343436030909,0.785010729392041
"8",1,107,2,6,2,69,22.069,2,0.939685941644562,0.803823625361441,0.807680502646309
"9",1,109,5,7,2,11,96.349,2,0.949027850761955,0.896222841560665,0.903846350045401
"10",1,11,4,6,1,44,144.574,2,0.961401247401247,0.841170932921573,0.861612069670455
"11",1,110,2,6,2,59,17.468,2,0.824169799878714,0.672123897512582,0.709147417163046
"12",1,113,3,7,2,11,18.708,2,0.941238750661726,0.861272029796424,0.888805472023353
"13",1,114,6,7,2,64,37.556,2,0.933901918976546,0.843156188677967,0.869097292164254
"14",1,115,3,6,2,63,18.251,2,0.947368421052632,0.822601253834191,0.909879825245022
"15",1,116,2,7,2,61,39.747,2,0.898071625344353,0.759842860011392,0.768366932853645
"16",1,117,5,6,2,61,110.944,2,0.962117280747276,0.865031022266665,0.898652588238868
"17",1,118,3,7,2,53,13.588,2,0.898032132963989,0.720765146971844,0.746636546147205
"18",1,119,4,8,2,52,57.498,2,0.980632008154944,0.91781445028292,0.926835390682557
"19",1,12,3,7,1,60,35.48,2,0.958723958333333,0.887614081877264,0.91795481070679
"20",1,120,3,7,2,49,18.198,2,0.872517162471396,0.753904011495115,0.773580238111189
"21",1,121,5,6,2,31,108.842,2,0.794454490657022,0.637066078289706,0.692835626069441
"22",1,122,1,6,2,13,19.336,2,0.940688924218336,0.851650208255352,0.889313472515443
"23",1,124,2,7,2,17,22.166,2,0.901805066079295,0.742546973229994,0.786544151079126
"24",1,125,4,7,2,80,13.343,2,0.898071625344353,0.793443881979291,0.850054415091694
"25",1,126,5,7,2,68,425.856,2,0.97172236503856,0.799862575414603,0.884130932327112
"26",1,127,2,6,2,22,24.473,2,0.850858468677494,0.680464686208119,0.767430701660256
"27",1,128,3,7,2,74,25.425,2,0.974884674525884,0.88752678229483,0.875309214890955
"28",1,129,0,1,2,23,5.645,2,0.30370640569395,0.30370640569395,0.30370640569395
"29",1,130,2,5,2,36,20.583,2,0.852140762463343,0.771466032195411,0.795180722891566
"30",1,131,4,6,2,71,10.732,2,0.893864653243848,0.723016337240786,0.79922383205204
"31",1,132,1,6,3,20,12.788,2,0.842240094618569,0.634938074807477,0.727253820078575
"32",1,133,1,8,3,75,21.513,2,0.755444928438083,0.653148335838612,0.660211947854631
"33",1,134,0,3,3,23,10.404,2,0.89293407821229,0.855455950305043,0.865616827743036
"34",1,135,0,9,3,80,11.074,2,0.79099810725552,0.559458994623126,0.550392292917167
"35",1,136,5,8,3,32,134.643,2,0.911268372346217,0.801029974101864,0.838254617895212
"36",1,138,0,1,3,61,93.472,2,0.215254237288136,0.215254237288136,0.215254237288136
"37",1,139,4,7,3,46,34.878,2,0.869417750141323,0.729193905368706,0.791112433676311
"38",1,141,3,10,3,47,21.145,2,0.942930651138168,0.788092641956904,0.804487418959302
"39",1,142,1,1,3,12,8.505,2,0.573466476462197,0.573466476462197,0.573466476462197
"40",1,143,2,7,3,53,19.435,2,0.858860103626943,0.697447530566158,0.736305770943759
"41",1,144,1,6,3,2,27.189,2,0.900180716253443,0.696265901706289,0.772490523672331
"42",1,145,4,6,3,29,12.863,2,0.898678414096916,0.651385009724751,0.632946001367054
"43",1,147,5,6,3,71,16.508,2,0.797354179194227,0.647110238007325,0.683160777757625
"44",1,149,4,14,3,55,78.916,2,0.831775700934579,0.697300410912937,0.726129486034745
"45",1,150,2,6,3,23,14.766,2,0.964337998963193,0.73835115383149,0.761804357220662
"46",1,151,4,7,3,39,108.524,2,0.920669185105235,0.782017847088438,0.80993551523818
"47",1,152,2,2,3,63,60.829,2,0.739760554505356,0.630781977178768,0.630781977178768
"48",1,153,6,6,3,30,36.725,2,0.873239436619718,0.757166515386293,0.836245765396895
"49",1,154,0,6,3,62,6.99,2,0.780066581306018,0.637533379688778,0.69078050439947
"50",1,155,6,6,3,11,88.281,2,0.861696072851451,0.740240168186773,0.793566853412919
"51",1,156,0,7,3,34,27.462,2,0.818056831922612,0.653576351355057,0.728500989078839
"52",1,157,5,8,3,3,25.661,2,0.851216881594373,0.652749100673744,0.681156407979678
"53",1,158,1,6,3,23,7.71,2,0.833658478130617,0.663121989725844,0.672446867336523
"54",1,159,3,6,3,4,83.933,2,0.980314125446201,0.896061739483702,0.907335485458656
"55",1,160,2,6,3,67,13.391,2,0.928652710681696,0.782153750114002,0.776641255472847
"56",1,161,4,6,3,64,40.476,2,0.950131233595801,0.890490036937306,0.897087683502752
"57",1,17,6,6,1,68,59.654,2,0.955613577023499,0.820583731269447,0.935400209350518
"58",1,2,5,6,1,37,37.95,2,0.823390406800243,0.723061621524932,0.789507650091895
"59",1,20,5,6,1,5,42.631,2,0.790078644888082,0.675513736340265,0.743313861212578
"60",1,21,4,7,1,68,53.976,2,0.68679643591501,0.442309435085411,0.46650797921466
"61",1,23,2,6,1,76,9.94,2,0.817566366366366,0.687854498238821,0.698141420911528
"62",1,24,6,7,1,3,61.791,2,0.95615866388309,0.903763946881164,0.925114997100525
"63",1,25,3,7,1,56,29.267,2,0.925990280777538,0.890574544631207,0.900704885117218
"64",1,26,3,6,1,57,106.445,2,0.913463839042958,0.763477257644657,0.803500007199942
"65",1,27,3,6,1,34,56.92,2,0.952865374541645,0.90977327859592,0.925684580810315
"66",1,28,2,7,1,41,19.489,2,0.919900054318305,0.80875872016053,0.84591377463671
